,target
1316,13.079967227885287
1317,12.785981136733358
1318,12.5519469722247
1319,12.18811232015318
1320,11.879857623361609
1321,11.438417412795166
1324,15.764316225243462
1325,15.038844421521324
1326,14.208601419908682
1327,13.15420307157866
1328,12.242346713894397
1329,11.157735132735686
1330,10.514855101175929
1333,15.066301583457413
1334,14.616103977548043
1335,13.855919026994648
1336,13.688435989399695
1337,13.370778495633727
1338,12.25820009191619
1339,11.398131706968147
1351,17.063133943485166
1352,16.20361569980406
1353,15.970146419008966
1354,15.111137320801511
1355,14.530469620425562
1356,14.011430075342986
1357,13.413002573253728
1360,16.491926428405222
1361,15.703289955065895
1362,15.363645456025735
1363,14.156482655010379
1364,13.18609094480779
1365,12.808227809584361
1366,13.201606996660972
1378,13.653335098885545
1379,14.173050727487373
1380,14.091556188876854
1381,14.057651706742732
1382,13.906221084655492
1383,14.571725960551603
1384,14.532066600630163
1387,11.359820904435994
1388,10.914106163733607
1389,10.303806106491413
1390,9.644652054641927
1391,15.048491138958637
1392,14.903582154883843
1393,14.55536621367223
1396,14.801333695750502
1397,14.076784998019585
